_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,what_topics_is_this_review_about,comment,id,industry,what_topics_is_this_review_about_gold
920745016,3/30/2016 00:02:37,false,1941454761,,3/29/2016 23:57:47,false,neodev,0.7895,34937431,VEN,19,Cumaná,190.38.117.81,bedside_manner,Robin is a great listener and very knowledgeable.  She took care of me through my pregnancies and postpartum.  She was always very caring and compassionate; I highly recommend her!!,MERCHANT_CIRCLE_9f0c1af2ec1e126871b71ae2729a813f_9a33171e06d9de7b37878130315192e4,health-care-physicians,
920745016,3/30/2016 00:05:14,false,1941458282,,3/29/2016 23:58:03,false,clixsense,0.8571,32175836,PER,15,Lima,179.7.84.68,doctor_competence,Robin is a great listener and very knowledgeable.  She took care of me through my pregnancies and postpartum.  She was always very caring and compassionate; I highly recommend her!!,MERCHANT_CIRCLE_9f0c1af2ec1e126871b71ae2729a813f_9a33171e06d9de7b37878130315192e4,health-care-physicians,
920745016,3/30/2016 00:31:34,false,1941493435,,3/30/2016 00:28:00,false,neodev,0.8333,33750934,VEN,13,Barquisimeto,190.207.223.20,doctor_competence,Robin is a great listener and very knowledgeable.  She took care of me through my pregnancies and postpartum.  She was always very caring and compassionate; I highly recommend her!!,MERCHANT_CIRCLE_9f0c1af2ec1e126871b71ae2729a813f_9a33171e06d9de7b37878130315192e4,health-care-physicians,
920745016,3/30/2016 00:35:57,false,1941499918,,3/30/2016 00:32:01,false,neodev,0.8571,26653420,MYS,11,Miri,175.144.185.219,"bedside_manner
doctor_competence",Robin is a great listener and very knowledgeable.  She took care of me through my pregnancies and postpartum.  She was always very caring and compassionate; I highly recommend her!!,MERCHANT_CIRCLE_9f0c1af2ec1e126871b71ae2729a813f_9a33171e06d9de7b37878130315192e4,health-care-physicians,
920745017,3/30/2016 00:07:16,false,1941461131,,3/30/2016 00:05:38,false,neodev,0.8235,20555022,IND,07,Delhi,223.176.48.43,bedside_manner,"Dr. Anne White is well known as the best at Botox and Fillers in the Winston-Salem, Greensboro, High Point North Carolina area. I have been seeing her for 10 years now. She is always pleasant, genuine,  and her prices are great. She truly is an artist!",GOOGLE_PLACES_c11c7ceb5756dd2242603c22c046bd02_af050bbe5916b05e04cd5203fbaaa1ea,health-care-physicians,
920745017,3/30/2016 00:08:56,false,1941463333,,3/30/2016 00:03:36,false,neodev,0.8333,33750934,VEN,13,Barquisimeto,190.207.223.20,doctor_competence,"Dr. Anne White is well known as the best at Botox and Fillers in the Winston-Salem, Greensboro, High Point North Carolina area. I have been seeing her for 10 years now. She is always pleasant, genuine,  and her prices are great. She truly is an artist!",GOOGLE_PLACES_c11c7ceb5756dd2242603c22c046bd02_af050bbe5916b05e04cd5203fbaaa1ea,health-care-physicians,
920745017,3/30/2016 00:14:20,false,1941470394,,3/30/2016 00:07:19,false,clixsense,0.8235,34192482,MEX,31,Mérida,189.215.56.43,"doctor_competence
bedside_manner
valuepricebilling_issues","Dr. Anne White is well known as the best at Botox and Fillers in the Winston-Salem, Greensboro, High Point North Carolina area. I have been seeing her for 10 years now. She is always pleasant, genuine,  and her prices are great. She truly is an artist!",GOOGLE_PLACES_c11c7ceb5756dd2242603c22c046bd02_af050bbe5916b05e04cd5203fbaaa1ea,health-care-physicians,
920745017,3/30/2016 00:18:41,false,1941475844,,3/30/2016 00:16:44,false,clixsense,0.8571,32175836,PER,15,Lima,179.7.84.68,doctor_competence,"Dr. Anne White is well known as the best at Botox and Fillers in the Winston-Salem, Greensboro, High Point North Carolina area. I have been seeing her for 10 years now. She is always pleasant, genuine,  and her prices are great. She truly is an artist!",GOOGLE_PLACES_c11c7ceb5756dd2242603c22c046bd02_af050bbe5916b05e04cd5203fbaaa1ea,health-care-physicians,
920745018,3/29/2016 23:27:43,false,1941406565,,3/29/2016 23:24:28,false,instagc,0.7273,33427067,USA,MA,South Hadley,24.41.68.35,"cleanliness
bedside_manner
comfortattractiveness","Horrible place!! Very ghetto and unclean/unsafe.We took our baby, only 7 months, tot the E.R. and we were treated horribly. The nurses were awful-I mean truly horrid. I would NEVER recommend this place, especially if you have an infant!! Steer clear of the E.R.",YELP_e741366868d22e09d302b4c5af237d1f_ca0f6d8fdb52fc0e9fcb7d2d7953e528,health-care-physicians,
920745018,3/29/2016 23:27:53,false,1941406826,,3/29/2016 23:25:56,false,neodev,0.8235,31503638,SRB,02,Novi Sad,178.222.209.120,staff,"Horrible place!! Very ghetto and unclean/unsafe.We took our baby, only 7 months, tot the E.R. and we were treated horribly. The nurses were awful-I mean truly horrid. I would NEVER recommend this place, especially if you have an infant!! Steer clear of the E.R.",YELP_e741366868d22e09d302b4c5af237d1f_ca0f6d8fdb52fc0e9fcb7d2d7953e528,health-care-physicians,
